n,object_size,time_old,time_new,largest_eigen_old,largest_eigen_new
1e3,8112448,0.4290000000000873,0.3680000000003929,0.9994448043347238,1.0000000000000009
2e3,32224448,1.0630000000001019,1.4790000000002692,0.9993913497815038,0.9999999999999996
3e3,72336448,2.030000000000655,3.043999999999869,0.9993773344644264,0.999999999999997
4e3,128448448,3.106999999999971,5.128000000000611,0.9992821731372425,0.9999999999999993
5e3,200560448,4.8100000000004,7.6850000000004,0.999199060148553,0.9999999999999989
6e3,288672448,6.67699999999968,10.992999999999483,0.9991863410051655,1.0000000000000007
7e3,392784448,9.362999999999374,15.814000000000306,0.9990887999854745,0.999999999999998
8e3,512896448,12.469000000000051,19.63799999999992,0.9990412154987722,0.9999999999999992
9e3,649008448,15.204999999999927,24.65099999999984,0.9989541979273503,0.999999999999999
1e4,801120448,19.319000000000415,30.91700000000037,0.9989510879066327,1.0000000000000018
11e3,969232448,23.298999999999978,36.720000000000255,0.9988709822931259,1.0000000000000018
12e3,1153344448,27.527000000000044,43.07899999999972,0.9987971313304632,1.0000000000000009
13e3,1353456448,31.83600000000024,50.526999999999134,0.998730468601076,0.9999999999999999
14e3,1569568448,37.48199999999997,56.60899999999947,0.9986874069204297,0.9999999999999997
15e3,1801680448,42.33399999999983,70.71000000000004,0.9986188337226886,0.9999999999999983
16e3,2049792448,49.17099999999937,82.63699999999972,0.9986023155257295,0.9999999999999987
17e3,2313904448,51.472999999999956,82.05599999999959,0.9985075051404311,0.9999999999999953
18e3,2594016448,58.626000000000204,95.10199999999986,0.9984496016025274,0.9999999999999987
19e3,2890128448,64.44999999999982,106.07300000000032,0.9983952040764976,0.9999999999999997
2e4,3202240448,74.62800000000061,120.81999999999971,0.9983070025562745,0.999999999999999
21e3,3530352448,84.59900000000016,133.1790000000001,0.9982470330412142,1.0000000000000002
22e3,3874464448,95.79500000000007,166.21799999999985,0.9981941170372362,1.0000000000000038
23e3,4234576448,109.89699999999993,271.5169999999998,0.9981190138812933,1.0000000000000007
24e3,4610688448,144.72900000000027,319.5570000000007,0.9980435599447025,1.0000000000000018
25e3,5002800448,188.73800000000028,389.88800000000083,0.9979658054636655,0.9999999999999988
26e3,5410912448,217.8760000000002,425.2970000000005,0.997921609244196,1.000000000000001
27e3,5835024448,249.57400000000052,677.2089999999989,0.9978370346976958,1.0000000000000016
28e3,6275136448,399.2440000000006,809.8499999999985,0.9977653584393329,0.9999999999999989
29e3,6731248448,376.2379999999994,NA,NA,NA
3e4,NA,NA,NA,NA,NA
