n,object_size,time_old,time_new,largest_eigen_old,largest_eigen_new
1e3,8112448,0.41800000000000637,0.5579999999999927,0.999486272278097,1.0000000000000016
2e3,32224448,1.06899999999996,1.2900000000000205,0.9994260079343883,1.000000000000001
3e3,72336448,2,2.8729999999999905,0.9993278826192672,0.9999999999999976
4e3,128448448,2.988999999999976,4.8840000000000146,0.9992652858893224,1.0000000000000018
5e3,200560448,4.662000000000035,7.742999999999995,0.9992125501966481,0.9999999999999999
6e3,288672448,6.6200000000000045,10.825999999999965,0.9991782873112129,0.9999999999999998
7e3,392784448,8.728000000000009,14.455000000000041,0.999104887126509,1
8e3,512896448,11.591000000000008,18.86500000000001,0.9990426246597794,1.0000000000000016
9e3,649008448,14.44399999999996,24.153999999999996,0.9989745648016916,0.9999999999999984
1e4,801120448,18.15599999999995,29.07899999999995,0.9989163439132756,0.9999999999999997
